offset,total,dominant_digit,dominant_share,strong_dominance,allowed_digits_min15pct,allowed_mask,dominant_bit,allowed_mask_hex,dominant_bit_hex,allowed_digits_from_mask,min_total_required,usable
1,43,3,0.6976744186046512,True,"3,9",10,2,0xA,0x2,"3,9",10,True
3,22,3,1.0,True,3,2,2,0x2,0x2,3,10,True
4,24,7,0.375,False,"3,7,9",14,4,0xE,0x4,"3,7,9",10,True
5,10,9,1.0,True,9,8,8,0x8,0x8,9,10,True
6,35,1,0.6,True,"1,7",5,1,0x5,0x1,"1,7",10,True
10,36,1,0.5,False,"1,3",3,1,0x3,0x1,"1,3",10,True
