p,ostatnia_cyfra_2^p_minus_1,najmniejszy_dzielnik_wlasciwy,pierwsze_przekroczenie_potegi_dwojki
2599,7,65993,False
2603,7,524287,False
2611,7,127,False
2623,7,2305843009213693951,False
2627,7,48544121,False
2639,7,127,False
2641,1,524287,False
2653,1,127,False
2669,1,131071,False
2681,1,127,False
2701,1,2298041,False
2723,7,127,False
2737,1,127,False
2743,7,8191,False
2759,7,2147483647,False
2771,7,131071,False
2773,1,4513,False
2779,7,127,False
2807,7,127,False
2809,1,6361,False
2813,1,233,False
2821,1,127,False
2831,7,524287,False
2839,7,131071,False
2863,7,127,False
2867,7,4513,False
2869,1,18121,False
2873,1,8191,False
2891,7,127,False
2899,7,8191,False
2911,7,48544121,False
2921,1,178481,False
2929,1,233,False
2933,1,127,False
2941,1,131071,False
2947,7,127,False
2951,7,8191,False
2977,1,8191,False
2983,7,524287,False
2987,7,233,False
2989,1,127,False
2993,1,2298041,False
3007,7,2147483647,False
3013,1,178481,False
3017,1,127,False
3029,1,8191,False
3031,7,127,False
3043,7,1433,False
3053,1,48544121,False
3059,7,127,False
3073,1,127,False
3077,1,43441,False
3097,1,524287,False
3101,1,127,False
3103,7,233,False
3107,7,1913,False
3127,7,6361,False
3131,7,2147483647,False
3133,1,8191,False
3139,7,2298041,False
3143,7,127,False
3149,1,4513,False
3151,7,178481,False
3161,1,233,False
3173,1,524287,False
3193,1,2147483647,False
3197,1,178481,False
3199,7,127,False
3211,7,8191,False
3227,7,127,False
3233,1,6361,False
3241,1,127,False
3247,7,131071,False
3263,7,8191,False
3269,1,127,False
3277,1,233,False
3281,1,131071,False
3283,7,127,False
3287,7,524287,False
3293,1,618970019642690137449562111,False
3317,1,2147483647,False
3337,1,4513,False
3341,1,8191,False
3349,1,131071,False
3353,1,127,False
3367,7,127,False
3379,7,2147483647,False
3383,7,131071,False
3401,1,1433,False
3409,1,127,False
3419,7,8191,False
3427,7,178481,False
3431,7,4513,False
3437,1,127,False
3439,7,43441,False
3451,7,127,False
3473,1,18121,False
3479,7,127,False
3493,1,127,False
3497,1,8191,False
3503,7,65993,False
3521,1,127,False
3523,7,8191,False
3551,7,6361,False
3563,7,127,False
3577,1,127,False
3587,7,15193,False
3599,7,2305843009213693951,False
3601,1,8191,False
3611,7,178481,False
3629,1,524287,False
3647,7,127,False
3649,1,618970019642690137449562111,False
3653,1,8191,False
3661,1,127,False
3667,7,524287,False
3679,7,8191,False
3683,7,233,False
3689,1,127,False
3703,7,127,False
