p,ostatnia_cyfra_2^p_minus_1,najmniejszy_dzielnik_wlasciwy,pierwsze_przekroczenie_potegi_dwojki
11581,1,10960009,False
11591,7,730753,False
11599,7,127,False
11609,1,4513,False
11611,7,131071,False
11629,1,233,False
11639,7,65993,False
11641,1,127,False
11647,7,524287,False
11651,7,2305843009213693951,False
11659,7,618970019642690137449562111,False
11663,7,162259276829213363391578010288127,False
11669,1,127,False
11683,7,127,False
11687,7,233,False
11707,7,178481,False
11711,7,127,False
11713,1,6361,False
11723,7,59233,False
11747,7,131071,False
11749,1,2147483647,False
11753,1,127,False
11761,1,524287,False
11767,7,127,False
11773,1,2305843009213693951,False
11791,7,8191,False
11797,1,4513,False
11809,1,127,False
11819,7,6361,False
11837,1,127,False
11843,7,8191,False
11849,1,131071,False
11851,7,127,False
11857,1,48544121,False
11861,1,233,False
11873,1,2147483647,False
11879,7,127,False
11893,1,127,False
11899,7,704161,False
11911,7,1121297,False
11917,1,131071,False
11921,1,127,False
11929,1,18121,False
11947,7,8191,False
11951,7,131071,False
11963,7,127,False
11977,1,127,False
11983,7,178481,False
11989,1,524287,False
11993,1,1433,False
11999,7,8191,False
12017,1,2305843009213693951,False
12019,7,127,False
12029,1,178481,False
12031,7,6361,False
12047,7,127,False
12053,1,131071,False
12059,7,2147483647,False
12061,1,127,False
12077,1,8191,False
12079,7,4513,False
12083,7,80929,False
12091,7,65993,False
12103,7,127,False
12121,1,131071,False
12127,7,43441,False
12131,7,127,False
12137,1,6361,False
12139,7,2305843009213693951,False
12151,7,233,False
12167,7,178481,False
12173,1,127,False
12179,7,35897,False
12181,1,8191,False
12187,7,127,False
12191,7,2298041,False
12193,1,618970019642690137449562111,False
12209,1,233,False
12217,1,524287,False
12223,7,131071,False
12229,1,127,False
12233,1,7529,False
12257,1,127,False
12259,7,8191,False
12271,7,127,False
12283,7,730753,False
12293,1,524287,False
12299,7,127,False
12307,7,6353,False
12311,7,8191,False
12313,1,127,False
12317,1,65993,False
12319,7,170141183460469231731687303715884105727,False
12337,1,8191,False
12341,1,127,False
12349,1,6361,False
12359,7,131071,False
12361,1,4513,False
12371,7,618970019642690137449562111,False
12383,7,127,False
12389,1,8191,False
12407,7,524287,False
12427,7,131071,False
12431,7,2147483647,False
12439,7,127,False
12443,7,178481,False
12449,1,15193,False
12461,1,131071,False
12467,7,127,False
12469,1,2806537,False
12481,1,127,False
12493,1,8191,False
12499,7,233,False
12509,1,127,False
12521,1,524287,False
12523,7,127,False
12533,1,18121,False
12557,1,233,False
12559,7,524287,False
12563,7,131071,False
12571,7,8191,False
12581,1,178481,False
12593,1,127,False
12607,7,127,False
12623,7,8191,False
12629,1,730753,False
12631,7,131071,False
12643,7,4513,False
12649,1,127,False
12667,7,1913,False
12673,1,233,False
12677,1,127,False
12679,7,2147483647,False
12691,7,127,False
12701,1,8191,False
12709,1,1433,False
12719,7,127,False
12731,7,233,False
12733,1,127,False
12737,1,4513,False
12761,1,127,False
12767,7,131071,False
12769,1,65993,False
12773,1,6361,False
12779,7,8191,False
12787,7,524287,False
12803,7,127,False
12811,7,178481,False
12817,1,127,False
12827,7,170141183460469231731687303715884105727,False
12833,1,10960009,False
12847,7,233,False
12851,7,43441,False
12857,1,8191,False
12863,7,524287,False
12869,1,131071,False
12871,7,15193,False
12877,1,704161,False
12883,7,8191,False
12887,7,127,False
12901,1,127,False
12929,1,127,False
12937,1,6089,False
12943,7,127,False
12949,1,178481,False
12961,1,8191,False
12971,7,127,False
12977,1,524287,False
12989,1,2147483647,False
13019,7,4513,False
13021,1,233,False
13027,7,127,False
13039,7,8191,False
13051,7,2147483647,False
13061,1,931921,False
13067,7,1433,False
13069,1,127,False
13073,1,131071,False
13081,1,170141183460469231731687303715884105727,False
13087,7,178481,False
13091,7,6361,False
13097,1,127,False
13111,7,127,False
13117,1,8191,False
13129,1,524287,False
13133,1,27409,False
13139,7,127,False
13141,1,131071,False
13153,1,127,False
13157,1,1466449,False
13169,1,8191,False
13181,1,127,False
13207,7,4513,False
13213,1,43441,False
13223,7,127,False
13237,1,127,False
13243,7,131071,False
13247,7,8191,False
13253,1,233,False
13261,1,618970019642690137449562111,False
13271,7,178481,False
13273,1,8191,False
13279,7,127,False
13283,7,855857,False
13301,1,4513,False
13303,7,6361,False
13307,7,127,False
13319,7,524287,False
13349,1,127,False
13351,7,8191,False
13357,1,524287,False
13361,1,3449,False
13363,7,127,False
13369,1,233,False
13379,7,131071,False
13391,7,127,False
13403,7,8191,False
13423,7,2147483647,False
13427,7,233,False
13429,1,8191,False
13433,1,127,False
13439,7,18121,False
13447,7,127,False
13459,7,10960009,False
13471,7,524287,False
13481,1,8191,False
13489,1,127,False
13501,1,178481,False
13507,7,8191,False
13511,7,1504073,False
13517,1,127,False
13529,1,704161,False
13531,7,127,False
13543,7,233,False
13547,7,178481,False
13549,1,131071,False
13559,7,127,False
13561,1,48544121,False
13573,1,127,False
13583,7,4513,False
13589,1,162259276829213363391578010288127,False
13601,1,127,False
13603,7,1466449,False
13609,1,2147483647,False
13621,1,6361,False
13637,1,8191,False
13639,7,104369,False
13643,7,127,False
13657,1,127,False
13661,1,524287,False
13663,7,8191,False
13667,7,730753,False
13699,7,127,False
13703,7,48544121,False
13727,7,127,False
13733,1,2147483647,False
13741,1,127,False
13747,7,622577,False
13753,1,131071,False
13769,1,127,False
13771,7,4513,False
13777,1,178481,False
13787,7,131071,False
13793,1,8191,False
13811,7,127,False
13813,1,524287,False
13817,1,2806537,False
13819,7,8191,False
13823,7,178481,False
13843,7,170141183460469231731687303715884105727,False
13847,7,2305843009213693951,False
13853,1,127,False
13867,7,127,False
13889,1,131071,False
13891,7,233,False
13897,1,8191,False
13909,1,127,False
13919,7,2147483647,False
13927,7,524287,False
13939,7,6361,False
13943,7,2298041,False
13949,1,233,False
13951,7,127,False
13957,1,131071,False
13961,1,178481,False
13969,1,1504073,False
13973,1,618970019642690137449562111,False
13979,7,127,False
13987,7,48544121,False
13991,7,131071,False
13993,1,127,False
14017,1,162259276829213363391578010288127,False
14021,1,127,False
14027,7,8191,False
14041,1,524287,False
14053,1,4513,False
14059,7,66161,False
14063,7,127,False
14077,1,127,False
14089,1,2298041,False
14093,1,72953,False
14099,7,178481,False
14101,1,1913,False
14117,1,524287,False
14119,7,127,False
14123,7,233,False
14129,1,48544121,False
14131,7,8191,False
14137,1,15193,False
14141,1,1433,False
14147,7,127,False
14161,1,127,False
14167,7,2147483647,False
14183,7,8191,False
14189,1,127,False
14191,7,59233,False
14203,7,127,False
14209,1,8191,False
14213,1,622577,False
14219,7,22000409,False
14231,7,127,False
14237,1,178481,False
14239,7,233,False
14257,1,6361,False
14261,1,8191,False
14263,7,26849,False
14269,1,524287,False
14273,1,127,False
14287,7,127,False
14291,7,2147483647,False
14297,1,233,False
14299,7,43441,False
14329,1,127,False
14339,7,8191,False
14351,7,65993,False
14353,1,11113,False
14357,1,127,False
14359,7,730753,False
14363,7,6361,False
14371,7,127,False
14381,1,2298041,False
14383,7,524287,False
14413,1,127,False
14417,1,8191,False
14429,1,4513,False
14441,1,127,False
14459,7,6089,False
14467,7,131071,False
14471,7,233,False
14473,1,931921,False
14477,1,2147483647,False
14483,7,127,False
14491,7,2806537,False
14497,1,127,False
14501,1,131071,False
14507,7,704161,False
14513,1,178481,False
14521,1,8191,False
14527,7,2298041,False
14539,7,127,False
14567,7,127,False
14569,1,6857,False
14573,1,8191,False
14579,7,1913,False
14581,1,127,False
14587,7,233,False
14599,7,8191,False
14603,7,131071,False
14609,1,127,False
14611,7,524287,False
14617,1,4513,False
14623,7,127,False
14647,7,18121,False
14651,7,127,False
14659,7,162259276829213363391578010288127,False
14671,7,131071,False
14677,1,8191,False
14681,1,6361,False
14687,7,524287,False
14689,1,6353,False
14693,1,127,False
14701,1,22000409,False
14711,7,4513,False
14719,7,855857,False
14743,7,35897,False
14749,1,127,False
14761,1,233,False
14777,1,127,False
14789,1,178481,False
14791,7,127,False
14801,1,524287,False
14803,7,65993,False
14807,7,8191,False
14809,1,54217,False
14819,7,127,False
14833,1,127,False
14849,1,2147483647,False
14857,1,1433,False
14863,7,618970019642690137449562111,False
14873,1,162259276829213363391578010288127,False
14881,1,178481,False
14893,1,6361,False
14899,7,4513,False
14903,7,127,False
14909,1,35081,False
14911,7,8191,False
14917,1,127,False
14941,1,1466449,False
14953,1,524287,False
14959,7,127,False
14963,7,8191,False
14977,1,131071,False
14981,1,15193,False
14987,7,127,False
14989,1,8191,False
14999,7,6361,False
15001,1,127,False
15011,7,63577,False
15019,7,178481,False
15023,7,43441,False
15029,1,127,False
15041,1,8191,False
15043,7,127,False
15067,7,8191,False
15071,7,127,False
15079,7,131071,False
15097,1,2147483647,False
15109,1,233,False
15113,1,127,False
15119,7,8191,False
15127,7,127,False
15143,7,524287,False
15157,1,178481,False
15167,7,233,False
15179,7,931921,False
15181,1,4513,False
15197,1,127,False
15203,7,178481,False
15211,7,127,False
15221,1,2147483647,False
15223,7,8191,False
15239,7,127,False
15251,7,18121,False
15253,1,127,False
15281,1,127,False
15283,7,233,False
15311,7,54217,False
15317,1,6361,False
15337,1,127,False
15341,1,233,False
15343,7,1504073,False
15353,1,8191,False
15371,7,524287,False
15379,7,127,False
15397,1,730753,False
15403,7,15193,False
15407,7,127,False
15409,1,524287,False
15419,7,131071,False
15421,1,127,False
15431,7,8191,False
15437,1,855857,False
15449,1,127,False
15457,1,233,False
15463,7,127,False
15469,1,2147483647,False
15479,7,178481,False
15481,1,65993,False
15487,7,131071,False
15491,7,127,False
15509,1,8191,False
15523,7,524287,False
15529,1,6361,False
15533,1,127,False
15547,7,127,False
15553,1,18121,False
15557,1,4513,False
15571,7,178481,False
15589,1,127,False
15593,1,2147483647,False
15599,7,524287,False
15611,7,622577,False
15613,1,8191,False
15617,1,127,False
15623,7,131071,False
15637,1,524287,False
15659,7,127,False
15673,1,127,False
15677,1,2305843009213693951,False
15689,1,233,False
15691,7,8191,False
15701,1,127,False
15707,7,65993,False
15709,1,178481,False
15713,1,66161,False
15743,7,127,False
15751,7,72953,False
15757,1,127,False
15769,1,8191,False
15779,7,12619129,False
15793,1,131071,False
15799,7,127,False
15811,7,704161,False
15821,1,8191,False
15827,7,127,False
15833,1,1466449,False
15839,7,4513,False
15841,1,127,False
15847,7,6361,False
15863,7,233,False
15869,1,127,False
15871,7,13822297,False
15883,7,127,False
15893,1,178481,False
15899,7,8191,False
15911,7,127,False
15929,1,131071,False
15931,7,1433,False
15941,1,26849,False
15943,7,162259276829213363391578010288127,False
15947,7,3449,False
15953,1,127,False
15967,7,127,False
15977,1,8191,False
15979,7,233,False
15997,1,7529,False
16003,7,8191,False
16009,1,127,False
16013,1,1913,False
16031,7,131071,False
16037,1,127,False
16043,7,2305843009213693951,False
16051,7,127,False
16079,7,127,False
16081,1,8191,False
16099,7,131071,False
16109,1,43441,False
16117,1,48544121,False
16121,1,127,False
16123,7,178481,False
16129,1,170141183460469231731687303715884105727,False
16133,1,8191,False
16147,7,22000409,False
16151,7,2147483647,False
16153,1,233,False
16157,1,18121,False
16163,7,127,False
16169,1,178481,False
16177,1,127,False
16201,1,131071,False
16207,7,524287,False
16211,7,233,False
16213,1,2147483647,False
16219,7,127,False
16237,1,8191,False
16259,7,1504073,False
16261,1,127,False
16271,7,6361,False
16277,1,6353,False
16279,7,1466449,False
16283,7,6857,False
16289,1,127,False
16303,7,127,False
16307,7,178481,False
16309,1,4513,False
16321,1,524287,False
16327,7,233,False
16331,7,127,False
16337,1,131071,False
16343,7,1121297,False
16367,7,8191,False
16373,1,127,False
16387,7,127,False
16393,1,8191,False
16397,1,524287,False
16399,7,178481,False
16403,7,4513,False
16409,1,13822297,False
16429,1,127,False
16439,7,23209,False
16457,1,127,False
16459,7,18121,False
16463,7,704161,False
16471,7,127,False
16483,7,6361,False
16499,7,127,False
16501,1,233,False
16507,7,131071,False
16513,1,127,False
16523,7,8191,False
16531,7,2305843009213693951,False
16537,1,178481,False
16541,1,127,False
16543,7,622577,False
16549,1,8191,False
16559,7,233,False
16571,7,2298041,False
16579,7,80929,False
16583,7,127,False
16589,1,6361,False
16591,7,4513,False
16597,1,127,False
16601,1,8191,False
16609,1,131071,False
16627,7,8191,False
16637,1,170141183460469231731687303715884105727,False
16639,7,127,False
16663,7,35081,False
16667,7,127,False
16669,1,15193,False
16679,7,8191,False
16681,1,127,False
16711,7,131071,False
16717,1,1504073,False
16721,1,178481,False
16723,7,127,False
16733,1,233,False
16739,7,524287,False
16751,7,127,False
16757,1,8191,False
16771,7,2147483647,False
16777,1,63577,False
16781,1,730753,False
16783,7,8191,False
16789,1,704161,False
16793,1,127,False
16799,7,162259276829213363391578010288127,False
16801,1,6361,False
16807,7,127,False
16813,1,131071,False
16817,1,54217,False
16837,1,65993,False
16847,7,131071,False
16849,1,127,False
16853,1,524287,False
16859,7,178481,False
16861,1,8191,False
16873,1,4513,False
16877,1,127,False
16891,7,127,False
16897,1,1121297,False
16913,1,8191,False
16919,7,127,False
16933,1,127,False
16939,7,8191,False
16949,1,131071,False
16957,1,2147483647,False
16961,1,127,False
16967,7,4513,False
16969,1,1913,False
16991,7,8191,False
16997,1,178481,False
16999,7,618970019642690137449562111,False
17003,7,127,False
17009,1,622577,False
17023,7,233,False
17051,7,131071,False
17059,7,127,False
17063,7,18121,False
17069,1,8191,False
17071,7,6353,False
17081,1,233,False
17087,7,127,False
17089,1,178481,False
17101,1,127,False
17111,7,22000409,False
17119,7,6361,False
17129,1,127,False
17131,7,11113,False
17141,1,80929,False
17143,7,127,False
17147,7,8191,False
17153,1,131071,False
17173,1,8191,False
17177,1,618970019642690137449562111,False
17197,1,233,False
17213,1,127,False
17221,1,131071,False
17227,7,127,False
17233,1,524287,False
17249,1,4513,False
17251,7,8191,False
17263,7,2305843009213693951,False
17267,7,2147483647,False
17269,1,127,False
17273,1,178481,False
17297,1,127,False
17309,1,524287,False
17311,7,127,False
17323,7,131071,False
17329,1,8191,False
17339,7,127,False
17353,1,127,False
17357,1,40841,False
17363,7,1433,False
17371,7,233,False
17381,1,127,False
17399,7,170141183460469231731687303715884105727,False
17407,7,8191,False
17411,7,178481,False
17423,7,127,False
17429,1,233,False
17437,1,127,False
17441,1,704161,False
17447,7,1913,False
17453,1,2147483647,False
17459,7,8191,False
17461,1,524287,False
17473,1,730753,False
17503,7,6089,False
17507,7,127,False
17513,1,15193,False
17521,1,127,False
17527,7,131071,False
17531,7,4513,False
17533,1,618970019642690137449562111,False
17537,1,8191,False
17543,7,6361,False
17549,1,127,False
17557,1,43441,False
17561,1,131071,False
17563,7,127,False
17591,7,127,False
17593,1,2298041,False
17603,7,233,False
17617,1,1466449,False
17629,1,131071,False
17639,7,15854617,False
17641,1,8191,False
17647,7,127,False
17651,7,524287,False
17653,1,170141183460469231731687303715884105727,False
17663,7,131071,False
17671,7,3449,False
17687,7,178481,False
17689,1,127,False
17693,1,8191,False
17701,1,27409,False
17711,7,618970019642690137449562111,False
17717,1,127,False
17719,7,233,False
17731,7,127,False
17741,1,65993,False
17759,7,127,False
17767,7,704161,False
17771,7,8191,False
17773,1,127,False
17777,1,233,False
17779,7,178481,False
17797,1,8191,False
17801,1,127,False
17803,7,524287,False
17813,1,4513,False
17819,7,730753,False
17821,1,54217,False
17833,1,33569,False
17843,7,127,False
17849,1,8191,False
17857,1,127,False
17861,1,6361,False
17867,7,131071,False
17869,1,162259276829213363391578010288127,False
17873,1,2305843009213693951,False
17879,7,7529,False
17887,7,2147483647,False
17893,1,233,False
17899,7,127,False
17917,1,178481,False
17927,7,127,False
17951,7,233,False
17953,1,8191,False
17969,1,127,False
17983,7,127,False
17993,1,524287,False
18001,1,4513,False
18011,7,127,False
18023,7,13822297,False
18031,7,8191,False
18037,1,131071,False
18053,1,127,False
18067,7,127,False
18071,7,131071,False
18079,7,1433,False
18083,7,8191,False
18091,7,1504073,False
18101,1,178481,False
18107,7,343081,False
18109,1,127,False
18137,1,127,False
18151,7,127,False
18173,1,131071,False
18179,7,127,False
18187,7,8191,False
18193,1,127,False
18197,1,554129,False
18221,1,127,False
18239,7,8191,False
18241,1,233,False
18247,7,48544121,False
18259,7,524287,False
18263,7,127,False
18277,1,127,False
18281,1,43441,False
18283,7,4513,False
18299,7,233,False
18317,1,8191,False
18319,7,127,False
18323,7,54217,False
18331,7,178481,False
18343,7,8191,False
18347,7,127,False
18361,1,127,False
18373,1,23209,False
18377,1,4513,False
18383,7,104369,False
18389,1,127,False
18391,7,6361,False
18407,7,622577,False
18419,7,65993,False
18421,1,8191,False
18431,7,127,False
18437,1,1433,False
18449,1,524287,False
18467,7,10960009,False
18473,1,127,False
18479,7,131071,False
18487,7,127,False
18497,1,6361,False
18499,7,8191,False
18509,1,1466449,False
18511,7,730753,False
18529,1,127,False
18533,1,3449,False
18547,7,87281,False
18551,7,8191,False
18559,7,1121297,False
18563,7,524287,False
18569,1,2147483647,False
18571,7,127,False
18577,1,8191,False
18581,1,43721,False
18589,1,233,False
18599,7,127,False
18607,7,178481,False
18613,1,127,False
18629,1,8191,False
18631,7,2147483647,False
18641,1,127,False
18643,7,43441,False
18647,7,233,False
18649,1,131071,False
18653,1,178481,False
18659,7,4513,False
18673,1,48544121,False
18677,1,524287,False
18683,7,127,False
18697,1,127,False
18707,7,8191,False
18709,1,6361,False
18727,7,2305843009213693951,False
18739,7,127,False
18751,7,131071,False
18761,1,2298041,False
18763,7,233,False
18767,7,127,False
18779,7,15193,False
18781,1,127,False
18791,7,178481,False
18809,1,127,False
18811,7,8191,False
18817,1,2147483647,False
18823,7,127,False
18827,7,80929,False
18829,1,524287,False
18833,1,12619129,False
18847,7,4513,False
18851,7,127,False
18853,1,131071,False
18857,1,730753,False
18863,7,8191,False
18871,7,65993,False
18881,1,1913,False
18883,7,178481,False
18889,1,8191,False
18893,1,127,False
18907,7,127,False
18923,7,170141183460469231731687303715884105727,False
18929,1,178481,False
18937,1,233,False
18941,1,4513,False
18943,7,524287,False
18949,1,127,False
18967,7,8191,False
18971,7,2305843009213693951,False
18977,1,127,False
18983,7,11113,False
18989,1,53617,False
18991,7,127,False
19003,7,2147483647,False
19007,7,1504073,False
19021,1,66161,False
19027,7,6361,False
19033,1,127,False
19039,7,22000409,False
19057,1,131071,False
19061,1,127,False
19067,7,72953,False
19091,7,131071,False
19093,1,10960009,False
19097,1,8191,False
19099,7,13822297,False
19103,7,127,False
19111,7,233,False
19117,1,127,False
19123,7,8191,False
19127,7,59233,False
19133,1,6361,False
19153,1,1433,False
19159,7,127,False
19169,1,233,False
19171,7,524287,False
19177,1,18121,False
19187,7,127,False
19189,1,2147483647,False
19193,1,131071,False
19199,7,2298041,False
19201,1,127,False
19223,7,4513,False
19229,1,127,False
19241,1,48544121,False
19243,7,127,False
19247,7,524287,False
19253,1,8191,False
19271,7,127,False
19277,1,6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057151,False
19279,7,8191,False
19297,1,26849,False
19313,1,127,False
19331,7,8191,False
19337,1,2305843009213693951,False
19339,7,622577,False
19343,7,233,False
19357,1,8191,False
19361,1,524287,False
19363,7,131071,False
19367,7,43441,False
19369,1,127,False
19397,1,127,False
19399,7,40841,False
19409,1,8191,False
19411,7,127,False
19439,7,127,False
19451,7,6361,False
19453,1,127,False
19487,7,8191,False
19499,7,131071,False
19511,7,1433,False
19513,1,8191,False
19517,1,233,False
19523,7,127,False
19537,1,127,False
19549,1,65993,False
19561,1,2147483647,False
19567,7,131071,False
19573,1,178481,False
19579,7,127,False
19589,1,524287,False
19601,1,131071,False
19607,7,127,False
19619,7,178481,False
19621,1,127,False
19627,7,524287,False
19633,1,233,False
19637,1,2298041,False
19643,7,8191,False
19649,1,127,False
19663,7,127,False
19667,7,1121297,False
19669,1,8191,False
19691,7,127,False
19693,1,4513,False
19703,7,131071,False
19711,7,6857,False
19721,1,8191,False
19729,1,43441,False
19733,1,127,False
19741,1,524287,False
19747,7,127,False
19757,1,178481,False
19769,1,6361,False
19771,7,131071,False
19781,1,18121,False
19783,7,2298041,False
19787,7,4513,False
19799,7,8191,False
19807,7,233,False
19817,1,127,False
19829,1,54217,False
19831,7,127,False
19837,1,1913,False
19847,7,1466449,False
19849,1,178481,False
19859,7,127,False
19871,7,35897,False
19873,1,127,False
19883,7,2806537,False
19901,1,127,False
19903,7,8191,False
19907,7,131071,False
19909,1,11113,False
19931,7,33569,False
19933,1,3189281,False
19939,7,170141183460469231731687303715884105727,False
19951,7,80929,False
19957,1,127,False
19969,1,524287,False
19981,1,233,False
19999,7,127,False
